rank,manager_name,wins,games,draws,losses,win_pct,points,goals_for,goals_against
47,Ron Atkinson,66,203,58,79,32.5,256,228,267
48,Joe Royle,66,219,64,89,30.1,262,282,323
49,John Gregory,64,162,48,50,39.5,240,211,183
50,Thomas Frank,61,178,46,71,34.3,229,264,261
51,Bryan Robson,61,232,71,100,26.3,254,255,340
52,Jim Smith,60,197,58,79,30.5,238,223,280
53,Ole Gunnar Solskjær,59,127,32,36,46.5,209,212,168
54,Ronald Koeman,55,123,27,41,44.7,192,182,136
55,Brian Little,53,144,39,52,36.8,198,173,162
56,Chris Coleman,50,152,39,63,32.9,189,192,220
57,Ralph Hasenhüttl,47,151,36,68,31.1,177,185,255
58,Graham Potter,47,165,56,62,28.5,197,180,206
59,Gianluca Vialli,45,94,29,20,47.9,164,136,87
60,Erik ten Hag,44,85,14,27,51.8,146,123,112
61,Glenn Roeder,44,126,30,52,34.9,162,151,176
61,Trevor Francis,44,126,42,40,34.9,174,180,162
63,Arne Slot,42,76,18,16,55.3,144,149,94
64,André Villas-Boas,42,81,19,20,51.9,145,128,99
65,Steve Coppell,42,146,37,67,28.8,163,164,221
66,Chris Hughton,42,170,50,78,24.7,176,169,264
67,Ruud Gullit,41,104,26,37,39.4,149,164,148
68,Andoni Iraola,41,114,38,35,36.0,161,170,167
69,Walter Smith,41,143,42,60,28.7,165,173,190
70,David Pleat,40,124,33,51,32.3,153,162,194
71,Louis van Gaal,39,76,19,18,51.3,136,111,72
72,Paul Lambert,39,155,44,72,25.2,161,162,251
73,Frank Clark,38,97,31,28,39.2,145,136,126
74,Frank Lampard,38,104,21,45,36.5,135,145,153
75,Dave Jones,38,136,31,67,27.9,145,151,233
76,Mike Walker,37,96,25,34,38.5,136,126,143
77,Thomas Tuchel,35,63,17,11,55.6,122,109,55
78,Avram Grant,34,93,26,33,36.6,128,123,131
79,Dean Smith,34,122,24,64,27.9,126,139,207
80,Paul Jewell,34,138,28,76,24.6,130,135,235
81,George Burley,33,98,17,48,33.7,116,114,159
82,Stuart Pearce,33,104,26,45,31.7,125,101,122
83,Owen Coyle,33,116,24,59,28.4,123,136,204
84,Alex McLeish,33,138,52,53,23.9,151,145,198
85,Ange Postecoglou,31,81,12,38,38.3,105,139,136
86,Oliver Glasner,31,90,30,29,34.4,123,122,117
87,Claude Puel,31,94,23,40,33.0,116,117,132
88,Slaven Bilić,31,100,30,39,31.0,123,133,164
89,Fabian Hürzeler,30,76,24,22,39.5,114,118,105
90,Howard Kendall,30,97,24,43,30.9,114,113,134
91,Gary Megson,30,134,37,67,22.4,127,134,211
92,Roberto De Zerbi,29,77,21,27,37.7,108,124,117
93,Gareth Southgate,29,114,33,52,25.4,120,115,159
94,Enzo Maresca,28,57,15,14,49.1,99,96,64
95,Danny Wilson,28,105,18,59,26.7,102,105,180
96,Alan Ball,27,97,33,37,27.8,114,119,151
97,Neil Warnock,27,112,23,62,24.1,104,103,184
98,Dave Bassett,27,131,43,61,20.6,124,133,196
99,Mick McCarthy,27,138,28,83,19.6,109,127,241
100,Gary O'Neil,25,88,16,47,28.4,91,109,160
101,Garry Monk,24,67,16,27,35.8,88,85,90
102,John Lyall,24,101,34,43,23.8,106,101,146
103,Marcelo Bielsa,23,64,13,28,35.9,82,91,114
104,Ray Wilkins,23,67,11,33,34.3,80,79,93
105,Maurizio Sarri,21,38,9,8,55.3,72,63,39
106,Javi Gracia,21,67,14,32,31.3,77,80,115
107,Brian Horton,21,79,29,29,26.6,92,89,107
108,Graham Taylor,21,89,19,49,23.6,82,92,143
109,Jean Tigana,20,71,22,29,28.2,82,71,90
110,Gianfranco Zola,20,72,20,32,27.8,80,81,103
111,Chris Wilder,20,90,19,51,22.2,79,79,149
112,Guus Hiddink,19,35,12,4,54.3,69,65,36
113,Tim Sherwood,19,45,5,21,42.2,62,68,70
114,Roberto Di Matteo,19,48,11,18,39.6,68,73,75
115,Colin Todd,19,69,16,34,27.5,73,70,114
116,Ray Harford,18,48,11,19,37.5,65,67,61
117,Phil Neal,18,59,18,23,30.5,72,57,79
118,Nigel Pearson,18,60,13,29,30.0,67,72,89
119,Ian Branfoot,18,66,14,34,27.3,68,77,97
120,Bruce Rioch,17,38,12,9,44.7,63,49,32
121,Terry Venables,17,52,14,21,32.7,65,62,59
122,Steve Clarke,17,54,13,24,31.5,64,71,83
123,Michael Laudrup,17,62,19,26,27.4,70,76,86
124,Patrick Vieira,17,65,24,24,26.2,75,71,80
125,Daniel Farke,17,87,22,48,19.5,73,80,157
126,Doug Livermore,16,42,11,15,38.1,59,60,66
127,Bruno Lage,16,46,9,21,34.8,57,41,52
128,Bobby Gould,16,53,19,18,30.2,67,65,68
129,Ossie Ardiles,16,54,14,24,29.6,62,75,83
130,Sven-Göran Eriksson,15,38,10,13,39.5,55,45,53
131,Julen Lopetegui,15,43,9,19,34.9,54,47,73
132,Peter Taylor,15,46,8,23,32.6,53,44,68
133,Ruben Amorim,15,47,13,19,31.9,58,66,72
134,Roy Keane,15,53,9,29,28.3,54,49,83
135,Phil Thompson,14,24,7,3,58.3,49,41,18
136,Luiz Felipe Scolari,14,25,7,4,56.0,49,44,15
137,Keith Andrews,14,38,11,13,36.8,53,55,52
137,Régis Le Bris,14,38,12,12,36.8,54,42,48
139,Vítor Pereira,14,44,10,20,31.8,52,60,64
140,Gus Poyet,14,60,21,25,23.3,63,59,87
141,Steve Cooper,14,67,20,33,20.9,62,70,121
142,Michael Carrick,13,19,4,2,68.4,43,37,21
143,Billy Bonds,13,42,13,16,31.0,52,47,58
144,Quique Sánchez Flores,13,48,13,22,27.1,52,47,70
145,Steve Kean,13,59,14,32,22.0,53,72,110
146,Phil Brown,13,67,20,34,19.4,59,66,125
147,Scott Parker,13,86,21,52,15.1,60,71,155
148,Paul Clement,12,37,5,20,32.4,41,34,51
149,Steven Gerrard,12,38,8,18,31.6,44,45,50
150,John Deehan,12,61,23,26,19.7,59,66,89
151,Walter Mazzarri,11,38,7,20,28.9,40,40,68
152,Alan Smith,11,42,12,19,26.2,45,34,49
152,Lennie Lawrence,11,42,11,20,26.2,44,54,75
154,Ian Holloway,11,46,9,26,23.9,42,61,95
155,David Wagner,11,60,15,34,18.3,48,41,95
156,Ralf Rangnick,10,24,7,7,41.7,37,33,33
157,Juande Ramos,10,36,11,15,27.8,41,54,52
158,Brian Clough,10,42,10,22,23.8,40,41,62
159,Iain Dowie,10,59,17,32,16.9,47,57,94
160,Francesco Guidolin,9,24,5,10,37.5,32,29,34
161,Christian Gross,9,26,7,10,34.6,34,35,40
162,Tony Parkes,9,28,11,8,32.1,38,36,29
163,Ian Porterfield,9,29,10,10,31.0,37,32,36
164,Alex Neil,9,38,7,22,23.7,34,39,67
164,Dave Merrington,9,38,11,18,23.7,38,34,52
166,Rob Edwards,9,65,17,39,13.8,44,72,128
167,Craig Shakespeare,8,21,5,8,38.1,29,34,33
168,Jesse Marsch,8,32,9,15,25.0,33,39,53
169,Tony Mowbray,8,38,8,22,21.1,32,36,67
170,Egil Olsen,7,36,11,18,19.4,32,44,70
171,Nigel Worthington,7,38,12,19,18.4,33,42,77
172,Micky Adams,7,43,18,18,16.3,39,54,74
173,Ryan Mason,6,12,1,5,50.0,19,26,20
174,Stewart Houston,6,18,4,8,33.3,22,29,24
175,Brian Kidd,6,25,11,8,24.0,29,28,31
176,Eddie Gray,6,26,7,13,23.1,25,29,48
177,Paul Hart,6,27,6,15,22.2,24,23,35
178,Nigel Adkins,6,30,9,15,20.0,27,38,56
179,David Webb,5,13,4,4,38.5,19,19,18
179,Liam Rosenior,5,13,2,6,38.5,17,19,21
179,Paul Sturrock,5,13,2,6,38.5,17,20,22
182,Carlos Carvalhal,5,18,5,8,27.8,20,17,25
183,Ricky Sbragia,5,23,6,12,21.7,21,21,30
184,Ruud van Nistelrooy,5,27,4,18,18.5,19,21,54
185,Brian McDermott,5,29,8,16,17.2,23,35,56
186,Mauricio Pellegrino,5,30,13,12,16.7,28,29,44
187,Aidy Boothroyd,5,38,13,20,13.2,28,29,59
187,Vincent Kompany,5,38,9,24,13.2,24,41,78
189,John Gorman,5,42,15,22,11.9,30,47,100
190,Peter Shreeves,4,10,1,5,40.0,13,16,14
191,Malky Mackay,4,18,5,9,22.2,17,13,28
192,Alan Irvine,4,19,5,10,21.1,17,18,28
192,John Carver,4,19,3,12,21.1,15,18,32
192,Stuart Gray,4,19,4,11,21.1,16,11,28
195,Alain Perrin,4,20,6,10,20.0,18,21,28
196,Jim Jefferies,4,24,7,13,16.7,19,25,48
196,Paul Heckingbottom,4,24,2,18,16.7,14,15,57
198,Aitor Karanka,4,27,10,13,14.8,22,19,30
199,Kieran McKenna,4,38,10,24,10.5,22,36,82
200,Pat Rice,3,3,0,0,100.0,9,8,1
201,Darren Moore,3,6,2,1,50.0,11,6,5
201,David Unsworth,3,6,1,2,50.0,10,13,10
203,Kevin MacDonald,3,7,1,3,42.9,10,9,13
204,Jacques Santini,3,11,4,4,27.3,13,6,8
205,Felix Magath,3,12,3,6,25.0,12,14,27
205,Mike Jackson,3,12,4,5,25.0,13,13,16
207,René Meulensteen,3,13,1,9,23.1,10,15,34
208,Chris Ramsey,3,15,2,10,20.0,11,18,31
209,Dick Advocaat,3,17,6,8,17.6,15,16,28
209,Paul Ince,3,17,4,10,17.6,13,17,34
211,Brian Laws,3,18,1,14,16.7,10,20,42
211,Pepe Mel,3,18,6,9,16.7,15,20,32
213,Mike Phelan,3,20,4,13,15.0,13,17,44
214,Lawrie Sanchez,3,22,8,11,13.6,17,22,36
215,Chris Hutchings,3,24,6,15,12.5,15,15,38
215,Mark McGhee,3,24,7,14,12.5,16,26,47
217,Trevor Brooking,2,3,1,0,66.7,7,4,2
218,Ryan Giggs,2,4,1,1,50.0,7,8,3
219,Gary McAllister,2,5,2,1,40.0,8,6,5
220,Tomas Brolin,2,7,0,5,28.6,6,8,16
220,Xisco Muñoz,2,7,1,4,28.6,7,7,10
222,Bob Bradley,2,11,2,7,18.2,8,15,29
223,Paolo Di Canio,2,12,3,7,16.7,9,11,22
224,Velimir Zajec,2,13,2,9,15.4,8,10,24
225,Rubén Sellés,2,16,4,10,12.5,10,18,33
225,Tony Adams,2,16,5,9,12.5,11,16,28
227,Rémi Garde,2,21,6,13,9.5,12,13,41
228,Roy McFarland,2,22,4,16,9.1,10,21,44
229,Jim Barron,1,1,0,0,100.0,3,4,3
230,Aaron Danks,1,2,0,1,50.0,3,4,4
230,Michael Appleton,1,2,1,0,50.0,4,5,4
232,Mike Stowell,1,3,0,2,33.3,3,3,4
233,Cristian Stellini,1,4,1,2,25.0,4,6,11
233,Duncan Ferguson,1,4,2,1,25.0,5,4,3
235,Freddie Ljungberg,1,5,2,2,20.0,5,6,8
235,Keith Downing,1,5,3,1,20.0,6,6,6
237,Calum McFarlane,1,6,2,3,16.7,5,7,10
237,Ray Lewington,1,6,3,2,16.7,6,9,15
239,Alan Curtis,1,7,2,4,14.3,5,5,11
239,Dave Watson,1,7,3,3,14.3,6,7,12
239,Les Reed,1,7,1,5,14.3,4,4,15
239,Steve Davis,1,7,1,5,14.3,4,5,15
243,Alan Shearer,1,8,2,5,12.5,5,4,10
243,Jimmy Gabriel,1,8,1,6,12.5,4,3,12
243,Nathan Jones,1,8,0,7,12.5,3,6,16
246,Sammy Lee,1,11,3,7,9.1,6,12,19
246,Steve Agnew,1,11,3,7,9.1,6,8,23
248,Kevin Ball,1,12,2,9,8.3,5,9,23
248,Slaviša Jokanović,1,12,2,9,8.3,5,11,31
250,Billy Davies,1,14,3,10,7.1,6,5,33
250,Ivan Jurić,1,14,1,12,7.1,4,12,38
252,Jan Siewert,1,15,2,12,6.7,5,9,36
252,Russell Martin,1,15,2,12,6.7,5,11,31
254,Steve Wigley,1,16,8,7,6.3,11,16,24
255,Terry Connor,0,13,4,9,0.0,4,12,33
256,Simon Rusk,0,9,3,6,0.0,3,3,17
257,Eric Black,0,8,1,7,0.0,1,5,20
258,Keith Millen,0,7,3,4,0.0,3,2,9
259,Igor Tudor,0,5,1,4,0.0,1,4,13
259,Neil Adams,0,5,1,4,0.0,1,2,10
261,Frank de Boer,0,4,0,4,0.0,0,0,7
261,Hayden Mullins,0,4,1,3,0.0,1,2,9
263,Graeme Jones,0,3,2,1,0.0,2,2,5
263,John Wark,0,3,2,1,0.0,2,4,7
263,Kevin Keen,0,3,0,3,0.0,0,4,9
263,Michael Skubala,0,3,1,2,0.0,1,2,5
267,Billy McEwan,0,2,0,2,0.0,0,1,4
267,David Kerslake,0,2,1,1,0.0,1,2,4
267,Frank Barlow,0,2,0,2,0.0,0,0,6
267,Frank Burrows,0,2,1,1,0.0,1,3,6
267,Joe Jordan,0,2,0,2,0.0,0,0,5
267,Leon Britton,0,2,1,1,0.0,1,1,6
267,Stuart McCall,0,2,0,2,0.0,0,0,3
267,Terry Burton,0,2,1,1,0.0,1,2,4
275,Archie Knox,0,1,0,1,0.0,0,0,2
275,Ben Dawson,0,1,0,1,0.0,0,1,4
275,Bruno Saltor,0,1,1,0,0.0,1,0,0
275,Darren Fletcher,0,1,1,0,0.0,1,2,2
275,James Collins,0,1,0,1,0.0,0,0,3
275,Kelvin Davis,0,1,0,1,0.0,0,1,3
275,Mark Hudson,0,1,0,1,0.0,0,0,3
275,Paddy McCarthy,0,1,0,1,0.0,0,1,4
275,Steve Perryman,0,1,0,1,0.0,0,0,2
275,Terry McDermott,0,1,1,0,0.0,1,2,2
275,Tony Book,0,1,1,0,0.0,1,1,1
